state,cityname,mean_household_income
AZ,Scottsdale,88864
AZ,Scottsdale,62030
AZ,Phoenix,64354
AZ,Scottsdale,112364
AZ,Scottsdale,54953
AZ,Scottsdale,77880
AZ,Scottsdale,53752
AZ,Scottsdale,77570
AZ,Tempe,49214
AZ,Tempe,27059
AZ,Tempe,38782
AZ,Tempe,64293
AZ,Tempe,74365
AZ,Glendale,66559
AZ,Tempe,67101
AZ,Tempe,69602
AZ,Tempe,88421
AZ,Tempe,45168
AZ,Tempe,45627
AZ,Mesa,125247
AZ,Mesa,85162
AZ,Mesa,42594
AZ,Mesa,73432
AZ,Mesa,99691
AZ,Phoenix,41582
AZ,Mesa,52597
AZ,Mesa,34286
AZ,Mesa,64256
AZ,Mesa,110519
AZ,Mesa,41775
AZ,Mesa,44859
AZ,Mesa,44275
AZ,Mesa,56661
AZ,Mesa,39844
AZ,Mesa,47381
AZ,Phoenix,81409
AZ,Mesa,29732
AZ,Mesa,43941
AZ,Mesa,33140
AZ,Mesa,32126
AZ,Mesa,80563
AZ,Chandler,83442
AZ,Mesa,84422
AZ,Mesa,67881
AZ,Mesa,45774
AZ,Gilbert,41678
AZ,Tucson,41514
AZ,Gilbert,70852
AZ,Mesa,68804
AZ,Mesa,100489
AZ,Gilbert,111392
AZ,Gilbert,101890
AZ,Higley,115491
AZ,Mesa,100687
AZ,Gilbert,101536
AZ,Mesa,51483
AZ,Mesa,53799
AZ,Phoenix,36117
AZ,Mesa,42627
AZ,Mesa,38380
AZ,Mesa,93034
AZ,Mesa,42944
AZ,Chandler,58576
AZ,Chandler,84613
AZ,Chandler,76288
AZ,Anthem,123366
AZ,Anthem,125842
AZ,Phoenix,64088
AZ,Phoenix,67245
AZ,Peoria,126364
AZ,Glendale,132807
AZ,Glendale,126340
AZ,Cave Creek,100628
AZ,Cave Creek,107472
AZ,Cave Creek,105265
AZ,Peoria,69865
AZ,Glendale,113533
AZ,Glendale,129913
AZ,Phoenix,73144
AZ,Phoenix,39969
AZ,Phoenix,61944
AZ,Scottsdale,111067
AZ,Peoria,66514
AZ,Phoenix,92031
AZ,Phoenix,91682
AZ,Phoenix,75831
AZ,Phoenix,45602
AZ,Phoenix,67883
AZ,Peoria,46148
AZ,Glendale,79592
AZ,Phoenix,75250
AZ,Glendale,79956
AZ,Phoenix,56528
AZ,Phoenix,46507
AZ,Phoenix,46121
AZ,Phoenix,47153
AZ,Goodyear,61039
AZ,Chandler,107971
AZ,Tempe,101453
AZ,Chandler,90971
AZ,Chandler,106494
AZ,Phoenix,37966
AZ,Chandler,89718
AZ,Chandler,106876
AZ,Chandler,100274
AZ,Chandler,101010
AZ,Chandler,150189
AZ,Chandler,43377
AZ,Chandler,115637
AZ,Sierra Vista,70523
AZ,Gilbert,93875
AZ,Gilbert,102008
AZ,Gilbert,144662
AZ,Phoenix,41538
AZ,Higley,86636
AZ,Gilbert,131315
AZ,Queen Creek,118668
AZ,Queen Creek,51951
AZ,Chandler,50112
AZ,Scottsdale,57997
AZ,Fort Mohave,41544
AZ,Golden Valley,38024
AZ,Kingman,38014
AZ,Bullhead City,39075
AZ,Phoenix,50594
AZ,Bullhead City,45407
AZ,Bullhead City,23272
AZ,Fort Mohave,54365
AZ,Lake Havasu City,48089
AZ,Lake Havasu City,80354
AZ,Lake Havasu City,70964
AZ,Kingman,33487
AZ,Wikieup,61726
AZ,Pinon,25967
AZ,Holbrook,26861
AZ,Phoenix,50940
AZ,Whiteriver,32370
AZ,Holbrook,42838
AZ,Winslow,42329
AZ,Lakeside,87124
AZ,Heber,28499
AZ,Show Low,42835
AZ,Tucson,43792
AZ,Tucson,33407
AZ,Tucson,40690
AZ,Tucson,16832
AZ,Scottsdale,49431
AZ,Tucson,21968
AZ,Tucson,37348
AZ,Tucson,29768
AZ,Tucson,55259
AZ,Tucson,36805
AZ,Tucson,22041
AZ,Tucson,28232
AZ,Tucson,44643
AZ,Tucson,24738
AZ,Tucson,33965
AZ,Phoenix,103718
AZ,Tucson,52809
AZ,Tucson,48225
AZ,Tucson,38598
AZ,Tucson,60804
AZ,Tucson,25955
AZ,Tucson,23534
AZ,Tucson,58670
AZ,Tucson,55419
AZ,Tucson,27821
AZ,Tucson,36047
AZ,Phoenix,37928
AZ,Tucson,50698
AZ,Tucson,26392
AZ,Tucson,91763
AZ,Tucson,149340
AZ,Tucson,38903
AZ,Tucson,35344
AZ,Tucson,85427
AZ,Tucson,97246
AZ,Tucson,45594
AZ,Tucson,83191
AZ,Phoenix,29395
AZ,Tucson,56346
AZ,Tucson,100012
AZ,Tucson,38321
AZ,Tucson,39380
AZ,Green Valley,42313
AZ,Tucson,40115
AZ,Green Valley,50560
AZ,Green Valley,73448
AZ,Green Valley,74968
AZ,Tucson,45662
AZ,Phoenix,0
AZ,Tucson,57062
AZ,Tucson,85348
AZ,Marana,59197
AZ,Marana,72556
AZ,Tucson,33448
AZ,Tucson,52069
AZ,Tucson,43737
AZ,Tucson,61264
AZ,Tucson,66023
AZ,Tucson,75453
AZ,Phoenix,72305
AZ,Tucson,119168
AZ,Tucson,69910
AZ,Tucson,81505
AZ,Tucson,69447
AZ,Tucson,67618
AZ,Tucson,109667
AZ,Tucson,69800
AZ,Ajo,41515
AZ,Sells,33274
AZ,San Tan Valley,84727
AZ,Phoenix,23976
AZ,San Tan Valley,70991
AZ,Florence,69660
AZ,Mesa,37067
AZ,Apache Junction,43857
